Educational License
TRC
9/23/2021 12:17:00 PM

T-Section Example


homework 4


Mxx	Kxx	

Section1	Section1	
I have a name!	I have a name!	
kip-in	1/in	

0	0	
-1062	-32.73E-6	
-2120	-65.47E-6	
-3154	-98.20E-6	
-4179	-.1309E-3	
-5165	-.1637E-3	
-5211	-.1964E-3	
-5242	-.2291E-3	
-5258	-.2619E-3	
-5276	-.2946E-3	
-5292	-.3273E-3	
-5327	-.7677E-3	
-5397	-1.208E-3	
-5588	-1.648E-3	
-5779	-2.089E-3	
-5932	-2.529E-3	
-6089	-2.969E-3	
-6227	-3.410E-3	
-6348	-3.850E-3	
-6463	-4.291E-3	
-6566	-4.731E-3	
-6658	-5.171E-3	
-6736	-5.612E-3	
-6813	-6.052E-3	
-6869	-6.492E-3	
-6928	-6.933E-3	
-6972	-7.373E-3	
-6997	-7.813E-3	
-7023	-8.254E-3	
-7039	-8.694E-3	
-7046	-9.135E-3	
-7046	-9.137E-3	
